ACC X;ACC Y
87FE80B8;a404784e
87f34853;a403bc36
87f40874;a403bc36
87f40874;a403bc36
87f34853;a402fc39
87f40874;a404784e
87f40874;a403bc36
87f40874;a403bc36
87f34853;a403bc36
87f40874;a402fc39
87f34853;a403bc36
87f40874;a403bc36
87f4c871;a403bc36
87f34853;a402fc39
87f34853;a402fc39
87f40874;a403bc36
87f34853;a403bc36
87f40874;a402fc39
87f34853;a403bc36
87f34853;a403bc36
87f40874;a403bc36
87f4c871;a403bc36
87f34853;a403bc36
87f40874;a402fc39
87f4c871;a403bc36
87f34853;a403bc36
87f40874;a402fc39
87f40874;a403bc36
87f4c871;a402fc39
87f40874;a403bc36
87f4c871;a402fc39
87f40874;a404784e
87f58495;a403bc36
87f4c871;a4017cce
87f34853;a404784e
87f40874;a404784e
87f40874;a402fc39
87f34853;a403bc36
87f4c871;a403bc36
87f34853;a4023c3c
87f34853;a404784e
87f4c871;a402fc39
87f34853;a4023c3c
87f34853;a403bc36
87f40874;a402fc39
87f40874;a403bc36
87f40874;a403bc36
87f4c871;a402fc39
87f40874;a402fc39
87f40874;a403bc36
87f40874;a402fc39
87f34853;a403bc36
87f4c871;a402fc39
87f34853;a4023c3c
87f40874;a403bc36
87f4c871;a403bc36
87f40874;a402fc39
87f40874;a402fc39
87f40874;a403bc36
87f40874;a402fc39
87f34853;a404784e
87f4c871;a4023c3c
87f34853;a403bc36
87f40874;a403bc36
87f4c871;a402fc39
87f40874;a404784e
87f40874;a4023c3c
87f40874;a402fc39
87f4c871;a402fc39
87f34853;a402fc39
87f34853;a403bc36
87f40874;a403bc36
87f4c871;a404784e
87f40874;a4023c3c
87f34853;a404784e
87f4c871;a403bc36
87f34853;a4023c3c
87f34853;a403bc36
87f4c871;a403bc36
87f40874;a402fc39
87f40874;a403bc36
87f4c871;a404784e
87f4c871;a402fc39
87f34853;a403bc36
87f40874;a403bc36
87f4c871;a4023c3c
87f40874;a4053841
87f40874;a402fc39
87f34853;a404784e
87f4c871;a404784e
87f40874;a4023c3c
87f288bf;a404784e
87f58495;a403bc36
87f34853;a402fc39
87f40874;a404784e
87f58495;a402fc39
87f34853;a402fc39
87f40874;a404784e
87f4c871;a402fc39
87f34853;a404784e
87f40874;a402fc39
87f40874;a402fc39
87f40874;a403bc36
87f4c871;a4023c3c
87f40874;a404784e
87f34853;a403bc36
87f4c871;a4023c3c
87f40874;a404784e
87f40874;a403bc36
87f34853;a4017cce
87f40874;a404784e
87f40874;a402fc39
87f34853;a402fc39
87f40874;a404784e
87f4c871;a402fc39
87f40874;a403bc36
87f34853;a402fc39
87f40874;a403bc36
87f34853;a403bc36
87f40874;a403bc36
87f40874;a402fc39
87f40874;a4023c3c
87f40874;a404784e
87f40874;a402fc39
87f40874;a4023c3c
87f288bf;a7fe84eb
87f04847;a7ec9cca
87e4504e;a7bc20ae
87bbe8d2;a4023c3c
87ea4ca6;a7e16cab
87f7048b;a7ebdced
87d31851;a4225008
87e4504e;a42608c2
84226cd1;a7d63c4d
87c8a08c;a7a8bcf8
87a87445;a44b5406
84226cd1;a7837471
87b46cc9;a7aafce3
8794fcce;a426c8c7
840b3803;a7b2704b
87b16cf5;a78c6870
87b3ac0d;a41364ef
840d78cd;a7b56ccf
87c2a448;a7abb850
87b5ecc3;a78ea463
87f40874;a74ffc06
87705405;a40b30bb
87e7505a;a496a83a
8509a8bd;a743502d
877d0ca3;a417dc53
877f4cb8;a45388e6
8417f024;a7bb6435
87759080;a7c51458
87b828c3;a765a097
849ba487;a66450a8
86be384b;a74b84bf
8745acd9;a7a50428
8421acc0;a743502d
86855c9c;a7896cf0
87c42483;a42fbc2c
87d31851;a7778480
86c73437;a741d033
849c6443;a4ce98d3
84e4fc27;a6bb94e3
86d9e8ff;a7b56ccf
87472cc7;a750bc81
8739b48b;a7606412
878d8057;a41424c8
85404833;a6f2c453
8411f4b0;a6d8a81f
86d56cf0;a7c8105d
878fc04c;a7f354f9
87442cd3;a7fa0836
874070a5;a44024ac
87a3f437;a6fd34cf
87cd1c65;a721c043
84ab5c67;a7db7445
841eb0ae;a7aafce3
87acf0cf;a41424c8
87c7e02e;a6ef0821
875f1cba;a7961816
876f9461;a79cd03c
87db54d9;a6dba4e0
875920a4;a782b49d
87e7505a;a6e0dc72
87b3ac0d;a78f648f
8705507e;a7bda0a4
87b46cc9;a7b3ec04
87c364a4;a6f5002b
87353438;a41ad856
87bfa40a;a7b3ec04
87fdc04a;a791a0be
87b0ac19;a729f4a7
846b0057;a46e6011
847cf83c;a4195c1d
874ae8c7;a4514ca2
84f570e3;a7d938b5
87e98cb7;a747c8e2
874f64f3;a4d60c82
84143489;a74290c1
8771d0b3;a7931c96
86d4ac1c;a721c043
84024003;a7b1b05a
86a708df;a46330e0
86d7ac08;a67638b2
87466cc8;a7e5e4ca
87d0dcfc;a642c087
86eb203f;a79b501e
872e7881;a799d4bc
874ba8c8;a73b1c5e
8756e0e5;a4603448
87e51041;a7931c96
86b4805a;a7c15c3c
878b44c6;a75478ed
841df05c;a41b9859
87532460;a7ddb0d4
8739b48b;a7a68063
87466cc8;a78670f1
875e5cb5;a73ed430
874130aa;a744100a
877a0c62;a7f7cc36
87af30de;a744cc4a
87353438;a7ec9cca
87a2743d;a7b034ec
87b22c07;a7949cb4
87c8a08c;a7b2704b
87d5589f;a7b0f055
879a3c66;a765a097
87d85826;a7f948c4
84000018;a76f5037
87b6ac31;a79b501e
87fdc04a;a796d813
843bdca6;a7577412
87acf0cf;a774887f
87df14ea;a7d9f8b0
87ca2092;a76a18ba
8735f43d;a782b49d
87a6340e;a7931c96
87a6340e;a76ad8bf
8783084e;a7c8d058
87789039;a796d813
8777109e;a7d00053
8795bcc1;a793dc93
8798bc78;a7c21872
8774108a;a7cbcc09
876998a2;a7eed86d
875aa053;a7e9a0c0
876698e6;a7cd487e
879200d5;a7d2804d
876f9461;a7bfdc89
877f4cb8;a41ad856
878d8057;a78de491
87aab001;a7d00053
87be2400;a7b9e42b
87d5589f;a7f948c4
87af30de;a7f114e2
87da9435;a7bf1c8c
87ca2092;a40a70b4
87a6340e;a7e22c59
87de54e5;a411e81a
87c66024;a7db7445
87de54e5;a7cec889
87cddc60;a7de70c5
87dfd4ef;a7e3a8ef
87d6186d;a40eecc7
87c5a035;a7ef9862
87b0ac19;a7df30ca
87d01cf9;a406b8b6
87ea4ca6;a7e8e0cf
87e690b6;a40d6c30
87d19cf3;a7e2e8e0
87db54d9;a7d938b5
87fe80b8;a403bc36
87e5d044;a7cd487e
87d6d868;a4106810
87e0909e;a7d63c4d
87e15072;a7e9a0c0
87fb8438;a4083413
87fac437;a7e6a438
87ebccac;a411281f
87df14ea;a7dcf467
87ef8823;a7f29415
87f04847;a7fe84eb
87f10848;a7e6a438
87f288bf;a416606f
87f58495;a7bda0a4
8400c01d;a403bc36
