ACC X;ACC Y
0X87Fe80B8;0xa40000f7
0X87F944C0;0xa4023c3c
0X87F944C0;0xa400c0f2
0X87Fa0432;0xa400c0f2
0X87F944C0;0xa4023c3c
0X87Fa0432;0xa40000f7
0X87F944C0;0xa4017cce
0X87F8842C;0xa400c0f2
0X87Fa0432;0xa400c0f2
0X87Fa0432;0xa7ff40bb
0X87Fa0432;0xa4023c3c
0X87F944C0;0xa400c0f2
0X87F8842C;0xa403bc36
0X87F8842C;0xa4017cce
0X87Fa0432;0xa40000f7
0X87F944C0;0xa4017cce
0X87F944C0;0xa40000f7
0X87F944C0;0xa4023c3c
0X87F944C0;0xa4017cce
0X87Fa0432;0xa4023c3c
0X87F944C0;0xa4017cce
0X87Fa0432;0xa4017cce
0X87F944C0;0xa40000f7
0X87Fa0432;0xa4017cce
0X87Fac437;0xa400c0f2
0X87F944C0;0xa4017cce
0X87Fa0432;0xa404784e
0X87F8842C;0xa4017cce
0X87F7048B;0xa4023c3c
0X87F64484;0xa400c0f2
0X87F7C48E;0xa400c0f2
0X87Fa0432;0xa40000f7
0X87Fc4040;0xa7fdc419
0X87Fdc04A;0xa7ff40bb
0X87Fe80B8;0xa400c0f2
0X87Fd004F;0xa40000f7
0X87Fa0432;0xa4017cce
0X87Fa0432;0xa40000f7
0X87F944C0;0xa400c0f2
0X87F944C0;0xa7ff40bb
0X87Fac437;0xa4017cce
0X87Fac437;0xa4023c3c
0X87F944C0;0xa40000f7
0X87Fa0432;0xa40000f7
0X87Fac437;0xa4017cce
0X87Fa0432;0xa400c0f2
0X87F944C0;0xa40000f7
0X87Fa0432;0xa4023c3c
0X87F8842C;0xa40000f7
0X87Fb8438;0xa402fc39
0X87Fa0432;0xa7fe84eb
0X87F944C0;0xa4023c3c
0X87F944C0;0xa4017cce
0X87F8842C;0xa7fe84eb
0X87Fa0432;0xa404784e
0X87F8842C;0xa7ff40bb
0X87F8842C;0xa402fc39
0X87F944C0;0xa7ff40bb
0X87Fb8438;0xa4023c3c
0X87Fac437;0xa400c0f2
0X87Fa0432;0xa7ff40bb
0X87Fb8438;0xa400c0f2
0X87Fac437;0xa400c0f2
0X87Fc4040;0xa4023c3c
0X87Fb8438;0xa400c0f2
0X87Fa0432;0xa402fc39
0X87Fac437;0xa4017cce
0X87Fac437;0xa40000f7
0X87Fac437;0xa40000f7
0X87F944C0;0xa7ff40bb
0X87Fb8438;0xa402fc39
0X87Fac437;0xa4017cce
0X87F944C0;0xa7ff40bb
0X87Fac437;0xa402fc39
0X87Fa0432;0xa7fdc419
0X87Fac437;0xa402fc39
0X87Fb8438;0xa7ff40bb
0X87F944C0;0xa7ff40bb
0X87F7C48E;0xa404784e
0X87Fa0432;0xa7ff40bb
0X87Fa0432;0xa400c0f2
0X87Fb8438;0xa400c0f2
0X87Fa0432;0xa400c0f2
0X87F944C0;0xa403bc36
0X87Fc4040;0xa400c0f2
0X87F8842C;0xa40000f7
0X87Fc4040;0xa4017cce
0X87F7048B;0xa7fdc419
0X87F8842C;0xa4017cce
0X87Fac437;0xa4017cce
0X87Fac437;0xa400c0f2
0X87Fac437;0xa402fc39
0X87Fb8438;0xa400c0f2
0X87Fa0432;0xa7fdc419
0X87F944C0;0xa4053841
0X87F7C48E;0xa40000f7
0X87F7C48E;0xa402fc39
0X87Fa0432;0xa4017cce
0X87Fac437;0xa402fc39
0X87Fac437;0xa40000f7
0X87F8842C;0xa4023c3c
0X87F8842C;0xa402fc39
0X87F944C0;0xa7ff40bb
0X87F944C0;0xa4017cce
0X87Fa0432;0xa7fe84eb
0X87Fa0432;0xa402fc39
0X87F8842C;0xa40000f7
0X87F8842C;0xa404784e
0X87F944C0;0xa7ff40bb
0X87Fa0432;0xa400c0f2
0X87Fac437;0xa40000f7
0X87Fac437;0xa400c0f2
0X87Fac437;0xa4017cce
0X87Fac437;0xa400c0f2
0X87Fb8438;0xa400c0f2
0X87Fa0432;0xa7fe84eb
0X87F944C0;0xa402fc39
0X87Fa0432;0xa7fe84eb
0X87Fac437;0xa403bc36
0X87F7C48E;0xa7fe84eb
0X87Fa0432;0xa400c0f2
0X87Fac437;0xa400c0f2
0X87F944C0;0xa400c0f2
0X87F944C0;0xa400c0f2
0X87F8842C;0xa7fe84eb
0X87Fa0432;0xa40000f7
0X87F7C48E;0xa7fac833
0X87Ef8823;0xa7db7445
0X87D85826;0xa40b30bb
0X840B3803;0xa7d10406
0X87E3908A;0xa4195c1d
0X87E690B6;0xa7ca4c03
0X87E5D044;0xa41424c8
0X840Cb821;0xa7f114e2
0X87E0909E;0xa7ce088c
0X87D19Cf3;0xa40a70b4
0X87B8E8C6;0xa7c51458
0X841Df05C;0xa7e22c59
0X8406Bce5;0xa7d04409
0X87C124Bf;0xa4248c60
0X87F58495;0xa7d4c083
0X87D5589F;0xa7bce0ab
0X87A038Cd;0xa7abb850
0X87F7048B;0xa435b426
0X87D5589F;0xa7a7408f
0X87A87445;0xa7e9a0c0
0X842F24D9;0xa7d9f8b0
0X841374Ae;0xa7e82476
0X87Dfd4Ef;0xa7d63c4d
0X844598Aa;0xa42608c2
0X8412B442;0xa7dff0cf
0X87E5D044;0xa4715c46
0X84435887;0xa40000f7
0X87F8842C;0xa7754893
0X87A7B404;0xa7fac833
0X8780C85F;0xa7577412
0X8725809F;0xa7458c45
0X8745Acd9;0xa7d6fc48
0X8780C85F;0xa7fc4413
0X87Bd6819;0xa7e82476
0X87A3F437;0xa7bf1c8c
0X87Cddc60;0xa79cd03c
0X845B4C35;0xa78de491
0X8426E85B;0xa40b30bb
0X87Db54D9;0xa7f59068
0X87D19Cf3;0xa4053841
0X87C66024;0xa411e81a
0X87Dcd4Fb;0xa7d4c083
0X87Fc4040;0xa41d1892
0X87F10848;0xa7fd041c
0X87C96060;0xa41d1892
0X87Fb8438;0xa7d57cbf
0X8408Fcae;0xa4083413
0X87E0909E;0xa405f844
0X87F8842C;0xa7f1d4e7
0X87F288Bf;0xa77a8085
0X87Db54D9;0xa79558e4
0X87D5589F;0xa7a148f0
0X87Bee405;0xa7eb20de
0X87A9F0F3;0xa4017cce
0X87496830;0xa7baa4d9
0X8777D09B;0xa7e6a438
0X8450D002;0xa79558e4
0X87Ec8C8B;0xa7813881
0X87E3908A;0xa437f081
0X8447D8B1;0xa7e16cab
0X87De54E5;0xa4230c42
0X87Aab001;0xa7d57cbf
0X878D8057;0xa7a8bcf8
0X87Ff4054;0xa7ea60d1
0X8415B483;0xa782b49d
0X87Ae70D1;0xa472dcb1
0X87Ebccac;0xa785b0e0
0X87A87445;0xa42fbc2c
0X87E5D044;0xa7dff0cf
0X87D6186D;0xa75d682f
0X8780085A;0xa7d7bc47
0X87F7048B;0xa7a384e3
0X87Da9435;0xa435b426
0X840Cb821;0xa7dc3462
0X877E8C54;0xa481084e
0X8780C85F;0xa7ebdced
0X844F5080;0xa7f70c33
0X87F7C48E;0xa74ffc06
0X87794C90;0xa46330e0
0X84053C12;0xa7f29415
0X87F288Bf;0xa7bf1c8c
0X8756E0E5;0xa7813881
0X878904Dd;0xa7fe84eb
0X87D31851;0xa7925c99
0X87F4C871;0xa7553409
0X87Ca2092;0xa7c8d058
0X87B3Ac0D;0xa7d63c4d
0X87Cddc60;0xa7695848
0X8783084E;0xa7c99057
0X87Aab001;0xa7cd487e
0X87Cba098;0xa7d10406
0X876C9475;0xa7d2804d
0X87C8A08C;0xa7b33044
0X87502474;0xa7a384e3
0X84083Cab;0xa7c45457
0X87C4E03A;0xa7e82476
0X87A87445;0xa7b2704b
0X84531013;0xa79b501e
0X87D19Cf3;0xa7fc4413
0X87Ae70D1;0xa7931c96
0X8794401B;0xa79020b4
0X87914027;0xa784f0ef
0X87D9D4C7;0xa732e856
0X87F58495;0xa7fd041c
0X87729041;0xa79b501e
0X87967Cd0;0xa79fcc6d
0X87Ea4Ca6;0xa7a8bcf8
0X8786C49C;0xa7bce0ab
0X879Afc63;0xa7d1c403
0X87Bee405;0xa7a148f0
0X87Db54D9;0xa753b829
0X87Cddc60;0xa799d4bc
0X87F4C871;0xa7872cbb
0X8414F48C;0xa7931c96
0X87Aff0Db;0xa7c09cd0
0X87D6186D;0xa7813881
0X87Bee405;0xa79d8c76
0X879080Cb;0xa7b0f055
0X87Be2400;0xa79914b9
0X87A0F8C8;0xa764209d
0X87Bca8F5;0xa7d938b5
0X87C124Bf;0xa7e82476
0X87E0909E;0xa7d00053
0X87F10848;0xa409b419
0X8417349D;0xa7f354f9
0X841Af09D;0xa4230c42
0X87Fdc04A;0xa7ce088c
0X87D01Cf9;0xa7bf1c8c
0X8792C0D0;0xa776c48f
0X87A9F0F3;0xa7a148f0
