ACC X;ACC Y
0x87FE80B8;0xa402fc39
0x87fc44fc;0xa7ff40bb
0x87fac437;0xa7ff40bb
0x87f944c0;0xa4017cce
0x87fb8438;0xa7fe8057
0x87fb8438;0xa40000f7
0x87fac437;0xa7ff40bb
0x87fac437;0xa40000f7
0x87fac437;0xa40000f7
0x87fb8438;0xa40000f7
0x87fb8438;0xa40000f7
0x87fb8438;0xa4017cce
0x87fb8438;0xa7ff40bb
0x87fac437;0xa4017cce
0x87f944c0;0xa400c0f2
0x87f7c48e;0xa400c0f2
0x87f8842c;0xa40000f7
0x87fac437;0xa7fe8057
0x87fdc04a;0xa7fdc419
0x87ff4054;0xa7fd041c
0x87fe80b8;0xa7fe8057
0x87ff4054;0xa40000f7
0x87fb8438;0xa4017cce
0x87fac437;0xa4017cce
0x87fb8438;0xa400c0f2
0x87fc44fc;0xa7fd041c
0x87fdc04a;0xa7ff40bb
0x87fd004f;0xa7fd041c
0x87fb8438;0xa7fdc419
0x87fa0432;0xa7fe8057
0x87fa0432;0xa40000f7
0x87f944c0;0xa7fe8057
0x87f944c0;0xa40000f7
0x87fa0432;0xa4017cce
0x87fd004f;0xa7fdc419
0x87fc44fc;0xa400c0f2
0x87fd004f;0xa4017cce
0x87fc44fc;0xa40000f7
0x87fc44fc;0xa400c0f2
0x87fa0432;0xa40000f7
0x87fc44fc;0xa7ff40bb
0x87fa0432;0xa7fe8057
0x87fc44fc;0xa40000f7
0x87fb8438;0xa400c0f2
0x87fac437;0xa7ff40bb
0x87fdc04a;0xa40000f7
0x87fd004f;0xa7fdc419
0x87fb8438;0xa4017cce
0x87fac437;0xa40000f7
0x87fac437;0xa400c0f2
0x87fc44fc;0xa40000f7
0x87fd004f;0xa7fd041c
0x87fa0432;0xa400c0f2
0x87fac437;0xa7ff40bb
0x87fb8438;0xa402fc39
0x87fc44fc;0xa7ff40bb
0x87fdc04a;0xa7fe8057
0x87fd004f;0xa7fac833
0x87fb8438;0xa7fd041c
0x87fd004f;0xa7ff40bb
0x87f8842c;0xa402fc39
0x87fac437;0xa4023c3c
0x87fdc04a;0xa7fdc419
0x87fdc04a;0xa7fdc419
0x87fac437;0xa4023c3c
0x87f7c48e;0xa402fc39
0x87fc44fc;0xa4017cce
0x87fb8438;0xa40000f7
0x87fd004f;0xa7fb883c
0x87fac437;0xa40000f7
0x87f8842c;0xa7fdc419
0x87fb8438;0xa402fc39
0x87fac437;0xa7fc4413
0x87fc44fc;0xa7ff40bb
0x87fb8438;0xa7fe8057
0x87f8842c;0xa7fd041c
0x87fac437;0xa403bc36
0x87fdc04a;0xa7fc4413
0x87fc44fc;0xa400c0f2
0x87fac437;0xa7ff40bb
0x87fc44fc;0xa40000f7
0x87fa0432;0xa7ff40bb
0x87f8842c;0xa4017cce
0x87fc44fc;0xa7fdc419
