ACC X;ACC Y
0x87ffbc67;0xa7ffc4e4
0x87ffa875;0xa400180e
0x87ff9443;0xa7ffc4e4
0x87ffd019;0xa4004011
0x87ffd019;0xa4004011
0x87ffa875;0xa7ffecc0
0x87ffe478;0xa4004011
0x87ffbc67;0xa7ffecc0
0x87ff6870;0xa7ffecc0
0x8400749f;0xa400bc22
0x87ffbc67;0xa7ffecc0
0x87ffd019;0xa7ffecc0
0x87ffd019;0xa400180e
0x84000cf3;0xa7ff48ec
0x87ffe478;0xa4006835
0x8400206b;0xa7ffc4e4
0x87ffbc67;0xa7ffecc0
0x87ffe478;0xa4006835
0x87fff83d;0xa7ff48ec
0x87ffa875;0xa4013894
0x84000cf3;0xa7ff7066
0x84005cbb;0xa4004011
0x87ff8051;0xa400180e
0x840048a9;0xa7ff9cfb
0x87ffd019;0xa400bc22
0x84005cbb;0xa7ffecc0
0x84000cf3;0xa4004011
0x87ffbc67;0xa4004011
0x87ffe478;0xa7ff48ec
0x87fff83d;0xa400180e
0x8400206b;0xa400180e
0x8400206b;0xa7ffc4e4
0x8400206b;0xa400180e
0x84000cf3;0xa7ff9cfb
0x8400206b;0xa7ffecc0
0x87ffa875;0xa4004011
0x87ffd019;0xa7ff9cfb
0x84000cf3;0xa400e43d
0x8400206b;0xa7ff7066
0x8400206b;0xa400180e
0x84000cf3;0xa4004011
0x87ffa875;0xa7ff7066
0x8400206b;0xa400bc22
0x87ffa875;0xa7ff48ec
0x87ff8051;0xa4006835
0x87ffd019;0xa4004011
0x84000cf3;0xa7ff9cfb
0x87ffbc67;0xa400bc22
0x87ffa875;0xa7ff9cfb
0x87ffe478;0xa4004011
0x87ff9443;0xa7ffecc0
0x87ff8051;0xa7ffc4e4
0x87ff9443;0xa400bc22
0x87ffd019;0xa7ffecc0
0x87ff6870;0xa7ffc4e4
0x87ffe478;0xa7ffecc0
0x87ffe478;0xa7ffecc0
0x87ff5446;0xa7ffc4e4
0x87ffe478;0xa400180e
0x87ff9443;0xa4006835
0x87fff83d;0xa7ffc4e4
0x8400206b;0xa4004011
0x87ffe478;0xa7ff7066
0x87ffe478;0xa7ffecc0
0x87ffe478;0xa4009406
0x87ffd019;0xa4004011
0x87ff8051;0xa7ffecc0
0x87ffe478;0xa400180e
