ACC X;ACC Y
0x87FE80B8;0xa4009c51
0x8400a434;0xa4026c74
0x87ff5c11;0xa4009c51
0x84014cfc;0xa7fec8e6
0x84014cfc;0xa7ff6474
0x8401f029;0xa4009c51
0x87feb4d9;0xa40000f7
0x87ff5c11;0xa40000f7
0x87feb4d9;0xa40000f7
0x8401f029;0xa40000f7
0x84014cfc;0xa7ff6474
0x8400a434;0xa7ff6474
0x87ff5c11;0xa40000f7
0x87fd688d;0xa401d0b5
0x87ff5c11;0xa7ff6474
0x87ff5c11;0xa40000f7
0x87ff5c11;0xa4009c51
0x8400a434;0xa401d0b5
0x87feb4d9;0xa7fe3069
0x87ff5c11;0xa401d0b5
0x87ff5c11;0xa4009c51
0x84000018;0xa401d0b5
0x87ff5c11;0xa7fd9451
0x87ff5c11;0xa7fe3069
0x84000018;0xa7ff6474
0x84014cfc;0xa40000f7
0x84014cfc;0xa40000f7
0x8400a434;0xa7fec8e6
0x8400a434;0xa4013894
0x87ff5c11;0xa7fec8e6
0x87feb4d9;0xa4009c51
0x84000018;0xa4013894
0x87feb4d9;0xa40000f7
0x87fe10f5;0xa4009c51
0x8401f029;0xa40000f7
0x84014cfc;0xa7ff6474
0x87ff5c11;0xa7fec8e6
0x84000018;0xa4009c51
0x87ff5c11;0xa40000f7
0x84014cfc;0xa40000f7
0x87feb4d9;0xa4009c51
0x87ff5c11;0xa4013894
0x87ff5c11;0xa7ff6474
0x8400a434;0xa4013894
0x87ff5c11;0xa7ff6474
0x8401f029;0xa7fec8e6
0x8400a434;0xa7ff6474
0x84000018;0xa40000f7
0x87ff5c11;0xa4009c51
0x84014cfc;0xa7ff6474
0x84000018;0xa7ff6474
0x84000018;0xa7ff6474
0x84014cfc;0xa40000f7
0x84000018;0xa7fe3069
0x84000018;0xa7ff6474
0x84000018;0xa401d0b5
0x8400a434;0xa40000f7
0x87ff5c11;0xa4009c51
0x84000018;0xa401d0b5
0x87ff5c11;0xa7ff6474
0x8400a434;0xa4026c74
0x8400a434;0xa40308b4
0x87ff5c11;0xa4009c51
0x84000018;0xa7ff6474
0x84014cfc;0xa40000f7
0x8401f029;0xa4013894
0x87fe10f5;0xa40000f7
0x84014cfc;0xa40000f7
0x84000018;0xa4013894
0x8400a434;0xa4013894
0x87ff5c11;0xa4013894
0x87feb4d9;0xa4013894
0x8400a434;0xa7ff6474
0x84000018;0xa40000f7
0x8401f029;0xa4013894
0x87feb4d9;0xa40000f7
0x84000018;0xa7fec8e6
0x87ff5c11;0xa7ff6474
0x8400a434;0xa4009c51
0x84014cfc;0xa4009c51
0x87ff5c11;0xa7ff6474
0x84014cfc;0xa40000f7
0x84000018;0xa4009c51
0x87fe10f5;0xa7fe3069
0x87fd688d;0xa40000f7
0x84000018;0xa401d0b5
0x87feb4d9;0xa4009c51
0x8401f029;0xa7ff6474
0x8400a434;0xa40000f7
0x87feb4d9;0xa7fec8e6
0x87ff5c11;0xa401d0b5
0x84014cfc;0xa4009c51
0x8400a434;0xa4013894
0x84014cfc;0xa4013894
0x87ff5c11;0xa40000f7
0x87feb4d9;0xa7ff6474
0x84014cfc;0xa7ff6474
0x8400a434;0xa401d0b5
0x87feb4d9;0xa4013894
0x87feb4d9;0xa401d0b5
0x87ff5c11;0xa40000f7
0x84014cfc;0xa4013894
0x84000018;0xa4009c51
0x87ff5c11;0xa4009c51
0x8400a434;0xa4026c74
0x87ff5c11;0xa401d0b5
0x8400a434;0xa7fcf8c6
0x8400a434;0xa40000f7
0x87fe10f5;0xa4009c51
0x8400a434;0xa4009c51
0x8400a434;0xa40000f7
0x8400a434;0xa40000f7
0x8400a434;0xa40000f7
0x84000018;0xa40000f7
0x84000018;0xa40000f7
0x8400a434;0xa7ff6474
0x87feb4d9;0xa40000f7
0x8400a434;0xa40000f7
0x84000018;0xa7ff6474
0x87ff5c11;0xa4013894
0x87ff5c11;0xa401d0b5
0x84000018;0xa4013894
0x84000018;0xa4009c51
0x84000018;0xa4013894
0x87ff5c11;0xa7fec8e6
0x84000018;0xa4013894
0x84014cfc;0xa7ff6474
0x8400a434;0xa4026c74
0x84000018;0xa7ff6474
0x84000018;0xa7fec8e6
0x87fcc41f;0xa7fd9451
0x84000018;0xa7f9f0ad
0x87feb4d9;0xa7f6e810
0x87fe10f5;0xa7f820ef
0x84000018;0xa7f17477
0x8400a434;0xa7f20c0f
0x84014cfc;0xa7f17477
0x87ff5c11;0xa7f64c3c
0x84014cfc;0xa7f95481
0x84014cfc;0xa7f820ef
0x8401f029;0xa7f3e07b
0x87ff5c11;0xa7f2a823
0x84014cfc;0xa7edd02e
0x840298ff;0xa7ebfc9e
0x84052cbc;0xa7f518dc
0x87ff5c11;0xa7f47c1c
0x87fc20d5;0xa7f9f0ad
0x8400a434;0xa7f6e810
0x8400a434;0xa7fd9451
0x84048879;0xa7fc5cea
0x8405d433;0xa7f47c1c
0x87feb4d9;0xa7f17477
0x87fcc41f;0xa7ed34e4
0x8400a434;0xa7f03c2f
0x87feb4d9;0xa7f0d8e5
0x87fd688d;0xa7ec9876
0x87fe10f5;0xa7f3e07b
0x87ff5c11;0xa7f9f0ad
0x840298ff;0xa7f8b8f5
0x8400a434;0xa7f17477
0x840298ff;0xa7ec9876
0x87feb4d9;0xa7e5ec9d
0x87fcc41f;0xa7e380cb
0x8400a434;0xa7ef04c4
0x84048879;0xa7f5b01b
0x87ff5c11;0xa7f95481
0x8405d433;0xa7e554f4
0x8400a434;0xa7e554f4
0x87feb4d9;0xa7ebfc9e
0x87ff5c11;0xa7fc5cea
0x87ff5c11;0xa7f47c1c
0x87fe10f5;0xa7ebfc9e
0x84033c3a;0xa7e9901d
0x87fc20d5;0xa7ee6cef
0x840ee0c3;0xa7f2a823
0x87ff5c11;0xa7efa0e8
0x87f9882e;0xa7ec9876
0x87feb4d9;0xa7e4b880
