ACC X;ACC Y
0x87FE80B8;0xa7ff7066
0x840068da;0xa400c0f2
0x840004a4;0xa40000f7
0x84003479;0xa4000c1c
0x87ffc0b7;0xa40000f7
0x84006431;0xa400c44e
0x87ffc0b7;0xa7ff54a9
0x84009802;0xa400ac8c
0x87ff649b;0xa400180e
0x840048a9;0xa40028d3
0x84005cbb;0xa7ff8c55
0x84002c80;0xa400302a
0x87ffbc67;0xa7ffc80f
0x84000cf3;0xa7ffd0f6
0x840054ec;0xa4005c54
0x87ff5c11;0xa7fe2890
0x84000cf3;0xa401347f
0x87ff84ed;0xa7ff54a9
0x84010c1a;0xa40070cc
0x87ff5c11;0xa7ff7831
0x87ffbc67;0xa400c0f2
0x87ffdcf2;0xa7ff3080
0x8400dc58;0xa400f02f
0x87ff8cba;0xa7fee0c2
0x840024d7;0xa40098ed
0x87ff5c11;0xa7feec29
0x87fff06a;0xa400ac8c
0x84000cf3;0xa7ffa0cd
0x840018e1;0xa7ff48ec
0x84003c2e;0xa400e8d6
0x87ffc0b7;0xa7ff3080
0x840004a4;0xa4006835
0x87fff06a;0xa7ff18a4
0x84002c80;0xa4005c54
0x87ffdcf2;0xa7ff54a9
0x87ff84ed;0xa40028d3
0x87ff98a8;0xa4002084
0x840018e1;0xa7ffbc88
0x84007023;0xa40044ad
0x87ffbc67;0xa7ff80be
0x840004a4;0xa400e081
0x87fff06a;0xa7ff2492
0x84000cf3;0xa7ff2492
0x840004a4;0xa40050bf
0x87ff8cba;0xa7ff3080
0x84007cc8;0xa400789b
0x87ffbc67;0xa40008a0
0x87ffe893;0xa7ff202e
0x84003c2e;0xa4008843
0x87ffbc67;0xa7ff9847
0x840068da;0xa400ac8c
0x87ff649b;0xa4002084
0x87ffc0b7;0xa7ffa0cd
0x84003479;0xa4000c1c
0x840018e1;0xa40050bf
0x87ffc8e0;0xa400302a
0x87ffe893;0xa400789b
0x8400140a;0xa7ff005d
0x84003479;0xa400d80b
0x87ffe893;0xa7ffd0f6
0x84005cbb;0xa400a067
0x87ff78de;0xa7ffa471
0x87ffe478;0xa40044ad
0x87ffdcf2;0xa7ff9847
0x84006431;0xa40090ba
0x87fff06a;0xa7ff2492
0x840018e1;0xa400c0f2
0x87ff5c11;0xa7ff60c8
0x840048a9;0xa40050bf
0x84000cf3;0xa40028d3
0x84003479;0xa7ffc80f
0x87ffc0b7;0xa40098ed
0x87ffc0b7;0xa7ff48ec
0x84002c80;0xa40090ba
0x87fff06a;0xa40008a0
0x87fffc81;0xa7fff085
0x87fff06a;0xa400a067
0x87ffd4a5;0xa7ffa0cd
0x840048a9;0xa4008843
0x84000cf3;0xa4002084
0x84002c80;0xa7ffb063
0x87ffe478;0xa7fff085
0x87ffe478;0xa7ff9847
0x87ffe893;0xa40090ba
0x87fffc81;0xa400180e
0x84007023;0xa7ffe87c
0x8400140a;0xa4004011
0x87ffbc67;0xa7ff04e1
0x84002c80;0xa40058e8
0x87ffb430;0xa7fff085
0x840040fe;0xa7ff8c55
0x840040fe;0xa7ffdc1d
0x87fff06a;0xa7ff88e9
0x87fff06a;0xa400180e
0x87ffe893;0xa4004011
0x840040fe;0xa7ff689f
0x840024d7;0xa7ff48ec
0x87ffe893;0xa7ffb063
0x87ffdcf2;0xa7ff3080
0x840004a4;0xa400387d
0x87ffc0b7;0xa7ff10f3
0x84008447;0xa4008014
0x87fff06a;0xa7ffb834
0x840040fe;0xa7ff8c55
0x87ffd4a5;0xa7ff54a9
0x87ffe893;0xa40028d3
0x84003479;0xa400a830
0x840024d7;0xa7ff3c6b
0x840024d7;0xa7fff439
0x87ffd4a5;0xa40008a0
0x840068da;0xa400a067
0x84006431;0xa7ffb834
0x840040fe;0xa7ff48ec
0x87ffdcf2;0xa7ffa471
0x84000cf3;0xa7ffa471
0x84003c2e;0xa40008a0
0x8400140a;0xa7ffe87c
0x8400140a;0xa7ffa0cd
0x8400140a;0xa4002084
0x840018e1;0xa7ffd0f6
0x840004a4;0xa7ff3c6b
0x840004a4;0xa4008014
0x84003c2e;0xa7ff80be
0x84009802;0xa4008843
0x87ff040e;0xa7fee895
0x87fea0cb;0xa403c8b1
0x84009802;0xa7fd9451
0x8407886d;0xa7fc4413
0x840a2013;0xa7ebdced
0x841038b7;0xa7e6a8d3
0x84173cca;0xa7eb0c46
0x841de0f2;0xa7dd9c4c
0x842c2826;0xa7d56c11
0x84398c13;0xa7c7accc
0x84352cd3;0xa7b9ec7c
0x84360cb4;0xa7dbb0fc
0x843aa09f;0xa7d59022
0x84395053;0xa7e62830
0x84051436;0xa7dbf01a
0x87d45021;0xa7c14079
0x84130cc2;0xa40bf402
0x8453f832;0xa7bb80ff
0x84105c9e;0xa797904b
0x84110c3f;0xa42cb46f
0x840024d7;0xa7a7147b
0x841d380e;0xa7fdb422
0x84014cfc;0xa79f9472
0x84326cf4;0xa77efc80
0x845138ca;0xa40cdce7
0x87f4b4a1;0xa445202c
0x87ff84ed;0xa42bac57
0x87effca4;0xa7ce00db
0x87eda0fa;0xa78a882e
0x843c1089;0xa40f3839
0x8465b478;0xa7cb6825
0x8433fc50;0xa7a12865
0x87f05c55;0xa455b4f8
0x877c44fb;0xa70fe0d7
0x84ca2c6b;0xa48824ba
0x8456f4e5;0xa7a3a02c
0x87cab888;0xa71e5cce
0x87faa849;0xa4adb86a
0x87ddd8f9;0xa79c4c9a
0x8467445d;0xa4472886
0x841fa0e9;0xa41e548b
0x87ef4826;0xa6ff1c16
0x8447fc7e;0xa44d64f3
0x843d487f;0xa416e430
0x843f2040;0xa7521850
0x840244bf;0xa44f983d
0x877500cd;0xa7841425
0x847ebc9b;0xa7d3ac3c
0x84ad3cda;0xa429ec4c
0x841d589b;0xa7591096
0x8774d8d8;0xa7f1c0f5
0x87f55c69;0xa7eb0c46
0x84c5383d;0xa79ee84b
0x8469c8f8;0xa7b0a01d
0x87b9b867;0xa7bc2c45
0x843b4000;0xa7e234a0
0x84afc014;0xa7891020
0x843b386c;0xa7d4f809
0x879b7c69;0xa75d9c4b
0x84015405;0xa48a7c58
0x84388011;0xa7b3b8f0
0x8498944e;0xa76784a5
0x840fdc1c;0xa7bf680b
0x84053445;0xa7e7683f
0x84659c5c;0xa7ca3c38
0x8432883e;0xa7c4f07b
0x87f7982d;0xa7a77cb9
0x8403bcd9;0xa421f8db
0x844a98ee;0xa7b6100b
0x84715815;0xa7dc2070
0x87edd0c1;0xa422a46c
0x87e85849;0xa77694c7
0x8487fced;0xa42b40ca
0x846894b2;0xa7da280f
0x84091466;0xa7afe8cd
0x87d550c8;0xa7f834fd
0x844e68e3;0xa7e3205b
0x847d88ee;0xa7c2e8aa
0x84355ce8;0xa7c49c05
0x840b684b;0xa7fdc8f2
0x84257cbe;0xa7b70ca7
0x8452584b;0xa7899894
0x84003479;0xa7ddf48e
0x8406907d;0xa7d31c02
0x84895487;0xa7d20c45
0x845e703f;0xa7ed5c26
0x87e05427;0xa7a4409b
0x8414b46a;0xa407e4fc
0x843904a7;0xa79bccb8
0x842e3022;0xa4077ce6
0x87fb60f2;0xa753d8bc
0x843c8893;0xa4087049
0x84343c94;0xa7d9488e
