ref_Ax;ref_Ay;ref_Ares;Ax;Ay;time
-0.000000;-0.000000;0.000000;84000018;A40000F7;0.000000
-0.000000;-0.000000;0.000000;84000018;A40000F7;0.500000
-0.000000;-0.000000;0.000000;84000018;A40000F7;1.000000
-0.000000;-0.000000;0.000000;84000018;A40000F7;1.500000
-0.000000;-0.000000;0.000000;84000018;A40000F7;2.000000
-1.673486;-1.673486;2.366667;87770030;A77700DF;2.500000
-0.050153;-1.438035;1.438909;87F80073;A78A407C;3.000000
-1.602775;-6.916726;7.099999;877CC0A4;A5CA0012;3.500000
-4.760301;-8.117185;9.410056;867A8064;A567C0E3;4.000000
-4.824945;-5.609886;7.399386;86754025;A63500B8;4.500000
-7.782736;-4.739732;9.112411;85830005;A6780095;5.000000
-10.12755;-9.832883;14.115702;84C34079;A4DB4036;5.500000
-11.90641;-11.86564;16.809408;8431807D;A43500A4;6.000000
-13.76681;-9.576197;16.769873;879940A2;A4F040ED;6.500000
-14.19993;-14.96207;20.627699;877600D9;A73780A8;7.000000
-16.84561;-12.06642;20.721319;869D4079;A424808B;7.500000
-19.28158;-19.12487;27.157692;85D60088;A5E2C0D8;8.000000
-18.87600;-20.63473;27.965982;85F740CD;A5674000;8.500000
-22.28207;-23.51814;32.397439;84E08022;A47B407B;9.000000
-24.78538;-25.04225;35.233936;841380CA;A7FE8057;9.500000
-23.05616;-26.38769;35.041366;84A100BC;A7908024;10.000000
-25.07886;-27.04084;36.880302;87FB8084;A75B00C5;10.500000
-26.58307;-32.16404;41.727516;878080EE;A5B7C055;11.000000
-31.08500;-30.49996;43.549118;860C0054;A63C00D4;11.500000
-33.46830;-33.44152;47.312397;854D003B;A54F40CF;12.000000
-32.29344;-34.31770;47.122944;85AD00E2;A50780DB;12.500000
-33.47091;-33.17441;47.125833;854CC0D7;A565001B;13.000000
-33.77301;-41.28733;53.340981;85300079;A6CD00C1;13.500000
-35.71515;-38.44227;52.472666;84950006;A7B600A5;14.000000
-37.14340;-43.09943;56.896343;842040B4;A638C004;14.500000
-43.10101;-33.29396;54.462700;8638800D;A55B403F;15.000000
-41.46517;-41.49576;58.662251;86BE8022;A6B80006;15.500000
-45.25625;-44.17871;63.244659;85884072;A5E080C3;16.000000
-47.09349;-48.25453;67.426240;84F1C008;A492C02D;16.500000
-45.97163;-48.90486;67.119873;854DC03E;A45DC0FA;17.000000
-48.22507;-50.25448;69.650344;849540E0;A7EF409E;17.500000
-50.09672;-47.99013;69.373878;87F80073;A4A880DC;18.000000
-48.31295;-50.97623;70.233314;848E00B2;A7B0008D;18.500000
-48.90046;-49.80346;69.797142;845E0004;A41000D2;19.000000
-49.37507;-49.90839;70.205025;84374050;A40B8085;19.500000
-48.84977;-49.74122;69.717217;846240DD;A4194058;20.000000
-48.56078;-48.24823;68.454667;8479C08A;A4934027;20.500000
-49.78643;-48.17053;69.275459;841580E2;A499C0BC;21.000000
-50.18334;-48.15617;69.551317;87F500CA;A49B0044;21.500000
-48.81630;-50.52409;70.254647;8464C016;A7D9003F;22.000000
-49.47762;-47.38318;68.506942;842EC0FA;A4DA40DF;22.500000
-48.21804;-50.01891;69.475692;8495C003;A40280E9;23.000000
-49.15411;-49.97780;70.099272;84494006;A405C0CE;23.500000
-50.09763;-46.63262;68.442489;87F80073;A51780FE;24.000000
-50.00330;-46.70773;68.424728;8403C009;A51180D6;24.500000
-48.72612;-50.36651;70.078675;846C4070;A7E60014;25.000000
-48.23254;-49.73222;69.279670;8494C0EA;A41A00AA;25.500000
-49.53252;-50.72787;70.899841;842A40CC;A7C88010;26.000000
-49.89501;-46.17087;67.979867;840C80AB;A53D80CC;26.500000
-48.98303;-50.37404;70.262946;8457408E;A7E580E3;27.000000
-47.47238;-47.56181;67.199356;84D2C056;A4CB8016;27.500000
-48.25041;-50.76524;70.037223;849340C8;A7C540AC;28.000000
-48.15836;-45.23885;66.074058;849AC047;A589C097;28.500000
-47.51459;-50.42580;69.284905;84CF802C;A7E14033;29.000000
-48.08013;-45.18631;65.981070;84A100BC;A58E0053;29.500000
-48.90403;-48.11660;68.606216;845DC015;A49E409E;30.000000
-47.19930;-49.98446;68.747514;84E9404B;A405402D;30.500000
-46.33034;-43.27812;63.399506;8530409F;A62A00D9;31.000000
-43.90477;-53.84186;69.473555;85F6C0C7;A6C980F7;31.500000
-47.86918;-45.82381;66.266738;84B2806E;A559C021;32.000000
-43.59626;-47.92946;64.790956;860C0054;A4AD80E0;32.500000
-48.79925;-49.18235;69.283990;84664008;A44700A2;33.000000
-44.43710;-47.17808;64.810708;85CB40F2;A4EB00BF;33.500000
-44.22249;-45.52893;63.470566;85DCC0F5;A57200FF;34.000000
-43.41642;-50.33797;66.474792;861EC089;A7E8405F;34.500000
-42.70249;-45.15044;62.145523;8659403F;A5910032;35.000000
-42.46679;-51.24462;66.554039;866C8069;A79E408C;35.500000
-43.85472;-46.12045;63.642230;85FB007B;A5418067;36.000000
-44.72435;-36.83539;57.940612;85B3C06F;A4398017;36.500000
-41.89595;-47.55621;63.378738;869B4051;A4C800E1;37.000000
-44.72146;-39.43564;59.625328;85B0007E;A764800D;37.500000
-44.97585;-31.05246;54.654209;859F4096;A612C036;38.000000
-38.39483;-44.93821;59.106738;87B9C00B;A5A240AF;38.500000
-38.92281;-43.18336;58.135945;878E8043;A631C068;39.000000
-41.30591;-44.05103;60.387685;86CB80E5;A5EAC05D;39.500000
-38.13324;-43.83482;58.100227;87CF403B;A5FC80B6;40.000000
-37.25043;-45.97250;59.169807;8417801F;A54D8037;40.500000
-40.78260;-32.24087;51.987454;86F64036;A5B1809B;41.000000
-41.60899;-33.21469;53.240253;86B2C094;A561C0CB;41.500000
-37.37565;-36.74124;52.410483;840D4047;A441008A;42.000000
-39.44614;-31.59712;50.540844;8763C0C5;A5E60008;42.500000
-38.86579;-40.42646;56.078953;879340DA;A7138037;43.000000
-38.68517;-36.84275;53.422200;87A200BA;A438C018;43.500000
-34.54812;-35.86917;49.801313;84F480D2;A4888096;44.000000
-33.63137;-32.89959;47.047347;853F80DE;A57B8070;44.500000
-38.05359;-37.48600;53.416069;87D5C085;A40440C4;45.000000
-33.15709;-34.29904;47.705525;85668003;A5090095;45.500000
-32.14145;-38.36769;50.051506;85B980F1;A7B80008;46.000000
-34.38126;-30.15510;45.731843;8502400D;A65800DF;46.500000
-35.34803;-36.13217;50.547185;84B30064;A4730018;47.000000
-31.29189;-36.65376;48.194200;85FF00AE;A4484000;47.500000
-31.64465;-34.36028;46.712025;85E240D4;A50000F9;48.000000
-31.75647;-36.36574;48.279816;85D900CC;A45FC007;48.500000
-31.00828;-33.35066;45.538781;861640EF;A5568083;49.000000
-32.34280;-32.86660;46.111497;85A90037;A57E4049;49.500000
-29.77488;-34.97632;45.933509;867B4088;A4D1804B;50.000000
-33.97884;-28.46608;44.326969;852340AE;A6E640FC;50.500000
-33.32889;-30.65766;45.284737;855840C4;A6330090;51.000000
-29.55524;-27.87274;40.625145;868D405C;A7170001;51.500000
-32.86543;-22.72544;39.957264;857E40A6;A4BC4029;52.000000
-32.44872;-26.02844;41.598072;85A080B8;A7ADC014;52.500000
-29.93504;-23.68150;38.169632;866E0077;A46E0084;53.000000
-28.47411;-24.51607;37.574104;86E5C0E4;A4298032;53.500000
-25.91161;-34.98361;43.534638;87B78040;A4D100A8;54.000000
-26.83444;-33.13664;42.639472;876BC040;A56400F2;54.500000
-29.03662;-22.74784;36.886173;86B7C0A8;A4BA4001;55.000000
-25.53715;-27.75418;37.715267;87D60094;A720804C;55.500000
-27.29714;-27.55440;38.786334;874600B6;A7310063;56.000000
-26.13897;-25.98082;36.854431;87A4C097;A7B1C061;56.500000
-26.61978;-26.22540;37.368237;877D80AB;A79DC07B;57.000000
-27.22578;-27.50031;38.697685;874BC00A;A7354050;57.500000
-26.23099;-25.20948;36.381084;879D4077;A7F0C01C;58.000000
-23.99940;-25.95432;35.349655;845000A9;A7B0008D;58.500000
-25.47164;-19.29399;31.954073;87DB80CE;A5D50073;59.000000
-25.91056;-22.14932;34.087390;87B78040;A4EB4059;59.500000
-21.80568;-22.35573;31.229264;85078034;A4DA80DA;60.000000
-23.99756;-23.03110;33.261311;845000A9;A4A34048;60.500000
-21.81493;-24.12173;32.523056;8506C03B;A44A001B;61.000000
-20.03878;-24.02867;31.287853;859400E1;A451804C;61.500000
-22.29562;-23.56587;32.441414;84DF400C;A477402B;62.000000
-22.26837;-21.55928;30.994894;84E180CB;A51B80AE;62.500000
-19.16841;-25.23086;31.686347;85DF4002;A7EF0078;63.000000
-22.28925;-19.32075;29.497498;84DFC0EF;A5D2C0B7;63.500000
-20.62719;-23.43229;31.217842;8567C00C;A48240EB;64.000000
-17.43911;-23.60777;29.350462;866CC08F;A470000C;64.500000
-21.52700;-18.43702;28.343178;851E4078;A61B005F;65.000000
-19.14846;-16.63061;25.362200;85E10026;A6AF00E2;65.500000
-16.85329;-18.08378;24.719568;869CC073;A6340051;66.000000
-19.72413;-11.48401;22.823759;85B1C092;A4544075;66.500000
-18.71151;-19.69994;27.169993;8604C0D4;A5B3C080;67.000000
-16.34590;-14.70244;21.985235;86C64059;A74CC024;67.500000
-14.77873;-14.80409;20.918224;87468055;A7448047;68.000000
-17.78484;-16.10103;23.990496;86508056;A6DA40C3;68.500000
-15.66491;-16.53512;22.777180;86FE0055;A6B6C0AE;69.000000
-14.57377;-15.55471;21.315347;8757409C;A7070024;69.500000
-15.07247;-14.75066;21.089371;872E800E;A748C0F1;70.000000
-13.86149;-12.29564;18.528999;87918022;A411C03E;70.500000
-13.40990;-16.95727;21.618855;87B680A9;A69440FA;71.000000
-15.83372;-14.64737;21.569711;86F0401E;A751405B;71.500000
-14.38149;-15.64851;21.253319;87670015;A6FF40B5;72.000000
-14.90549;-8.456107;17.137079;873C40D3;A54800E8;72.500000
-10.70051;-11.22279;15.506522;84944009;A46980A6;73.000000
-12.25468;-14.39030;18.901279;84150001;A76640F5;73.500000
-13.66377;-10.52823;17.249418;87A1C0AB;A4A240A1;74.000000
-12.89432;-3.870376;13.462663;87E0C0D6;A6C3408A;74.500000
-10.15809;-12.77506;16.321431;84C0C08E;A7EA80A7;75.000000
-10.50375;-6.800623;12.513084;84A44066;A5D380B8;75.500000
-9.205372;-8.678786;12.651490;850EC0BE;A539C0FF;76.000000
-9.857727;-12.68502;16.065016;84D94024;A7F1C0F5;76.500000
-7.675245;-11.69315;13.987109;858BC085;A4430077;77.000000
-8.331414;-9.218133;12.425234;85564069;A50D80A3;77.500000
-9.565540;-7.011810;11.860230;84F140EB;A5C24071;78.000000
-7.518441;-8.489933;11.340455;8598C0B4;A54940E7;78.500000
-7.691408;-8.870095;11.740372;858A808A;A52A00CB;79.000000
-6.742233;-8.299805;10.693197;85D840C3;A558C0C8;79.500000
-4.808326;-11.25750;12.241381;86768034;A466C004;80.000000
-6.282969;-8.896445;10.891393;85FDC056;A5240066;80.500000
-5.886933;-7.665705;9.665351;861E406A;A58CC0AB;81.000000
-6.552397;-2.776909;7.116539;85E7C00B;A71CC095;81.500000
-4.533674;-5.900363;7.441000;868D00BA;A61D0077;82.000000
-5.130867;-7.333420;8.950131;86580030;A5A7C070;82.500000
-3.772046;-2.090782;4.312737;86CB40E0;A7550068;83.000000
-5.626377;-5.626378;7.956899;8633809C;A6338073;83.500000
-1.602776;-7.167819;7.344829;877CC0A4;A5B5804E;84.000000
-3.326201;-5.053468;6.049889;86EFC09C;A662802B;84.500000
-3.812990;-2.803007;4.732414;86C40042;A71A805B;85.000000
-0.400694;-0.400694;0.566667;87DF401E;A7DF40F1;85.500000
-0.228346;-1.040566;1.065326;87ED408C;A7AAC0D5;86.000000
-0.000000;-4.284484;4.284484;84000018;A6A140A9;86.500000
-0.000000;-3.672415;3.672415;84000018;A6D380AA;87.000000
-1.948894;-1.472633;2.442711;87608037;A78780C0;87.500000
-0.000000;-0.000000;0.000000;84000018;A40000F7;88.000000
-1.298396;-1.298396;1.836209;8795C011;A795C0FE;88.500000
-0.195246;-0.641852;0.670892;87EC0083;A7CB8004;89.000000
-0.047881;-0.184455;0.190568;87F80073;A7F100F0;89.500000
-0.000000;-0.000001;0.000001;84000018;A40000F7;90.000000
